Category,Sub Category,Location,Description,Manufacturer
Cabinetry/Tops,Kitchen Upper Cabinet Dimension,,"36"" high uppers with cabinet over refrigerator",
Cabinetry/Tops,Kitchen Countertop,,Laminate,
Cabinetry/Tops,Drop Zone Cabinets,,(Per plan) Color Per Selection,
Cabinetry/Tops,Drop Zone tops,,(Per plan) Color Per Selection,
Cabinetry/Tops,Crown Moldings,,No Crown Molding,
Cabinetry/Tops,Door Hardware,,T-Bar Satin Nickel Pull,
Cabinetry/Tops,Master Bath Vanity Style,,Per Live.Now Packages,
Cabinetry/Tops,Master Bath Vanity Height,,"Adult height 36""",
Cabinetry/Tops,Master Bath Vanity Top,,Granite,
Cabinetry/Tops,Secondary Bath Vanity Style,,"Standard height 32""",
Cabinetry/Tops,Secondary Bath Vanity Height,,"Standard height 32""",
Cabinetry/Tops,Secondary Bath Vanity Top,,Granite,
Flooring / Bath Accessories/ Sills,Crack Suppressant,,Crack Suppressant Membrane under all standard and optional tiled areas,
Flooring / Bath Accessories/ Sills,Foyer,,"12"" Base Daltile Tile",Daltile
Flooring / Bath Accessories/ Sills,Kitchen,,"12"" Base Daltile Tile",Daltile
Flooring / Bath Accessories/ Sills,Laundry,,"12"" Base Daltile Tile",Daltile
Flooring / Bath Accessories/ Sills,Kitchen / Breakfast Nook,,"12"" Base Daltile Tile",Daltile
Flooring / Bath Accessories/ Sills,HVAC Closet,,"12"" Base Daltile Tile",Daltile
Flooring / Bath Accessories/ Sills,Master Bathroom Floor,,"12"" Base Daltile Tile",Daltile
Flooring / Bath Accessories/ Sills,Secondary Bathroom Floors,,"12"" Base Daltile Tile",Daltile
Flooring / Bath Accessories/ Sills,Powder Bathroom Floor,,"12"" Base Daltile Tile",Daltile
Flooring / Bath Accessories/ Sills,Master Bath Shower Floor,,"12"" Base Daltile Tile, recessed 4"" in Slab on 1st Floor. White Acrylic Pan on 2nd Floor, size per plan",Daltile
Flooring / Bath Accessories/ Sills,Master Bath Shower Walls,,"12"" Base Daltile Tile",Daltile
Flooring / Bath Accessories/ Sills,Master Bath Tub Backsplash,,"12"" Base Daltile Tile",Daltile
Flooring / Bath Accessories/ Sills,Kitchen Backsplash,,"6"" Daltile Subway Tile",Daltile
Flooring / Bath Accessories/ Sills,Master Bath Window Sill,,Corian,
Flooring / Bath Accessories/ Sills,Carpet Pad,,"1/2"" Crush Guard Standard",
Flooring / Bath Accessories/ Sills,Family Room,,Standard Shaw Carpet. Color Per Selection,Shaw
Flooring / Bath Accessories/ Sills,Dining/Living Room,,Standard Shaw Carpet. Color Per Selection,Shaw
Flooring / Bath Accessories/ Sills,1st Floor Halls,,Standard Shaw Carpet. Color Per Selection,Shaw
Flooring / Bath Accessories/ Sills,Master Bedroom,,Standard Shaw Carpet. Color Per Selection,Shaw
Flooring / Bath Accessories/ Sills,Secondary Bedrooms,,Standard Shaw Carpet. Color Per Selection,Shaw
Flooring / Bath Accessories/ Sills,Den,,Standard Shaw Carpet. Color Per Selection,Shaw
Interior Millwork,Front Entry Door,,"Typical: 8'0"" Fiberglass, 6 panel SMFG (plans w/Shingle Roof)",
Interior Millwork,Rear Porch Doors,,PER PLAN,
Interior Millwork,Garage / House Door,,"Six Panel, Solid Core, Wood Grain",
Interior Millwork,Interior Pre-hung Doors,,"Six Panel, Hollow Core, Wood Grain - Size and Swing Per Plan",
Interior Millwork,Exterior Door Heights,,"8'0""",
Interior Millwork,Interior Door Heights,,"6'8""",
Interior Millwork,Baseboard,,"Std 3 1/4"" colonial base board",
Interior Millwork,Door Casing,,"2-1/4"" Colonial Casing",
Interior Millwork,Window Sills,,drywall,
Interior Millwork,Window Seats,,drywall,
Interior Millwork,Knee Walls,,drywall,
Interior Millwork,Stair Knee Walls,,"1x8 Primed FJP cap with 2-1/4"" Colonial Casing",
Interior Millwork,Stair Handrail,,WM240 Primed Handrail,
Interior Millwork,Kitchen Bar Top,,"Trim underside with 2 1/4"" Colonial Casing",
Door Hardware,Front Entry Door Hardware,,Wyze Smart Lock system,Wyze
Door Hardware,Interior Door Hardware,,Privacy and Passage Round Polo Knobs,
Door Hardware,Exterior Door Hardware,,Keyed Round Knobs,
Door Hardware,House / Garage Door Hardware,,Keyed Round Knobs,
Door Hardware,Door - Spring Bumpers,,Flexible Spring Bumper,
Door Hardware,Door - Hinge Bumpers,,Door Saver Hinge Bumper,
Specialties,Bathroom Towel Bars,,"Moen Mason, Brushed Nickel finish",Moen
Specialties,Bathroom TP Holder,,"Moen Mason, Brushed Nickel finish",Moen
Specialties,Tub Shower Curtain Rod,,Steel tubing rod,
Specialties,Bath Shower Enclosure,,"Clear glass in Chrome frame (76"" Height)",
Specialties,Bathroom Medicine Cabinets,,none,
Specialties,Master Bath Mirrors,,"36"" x 96"" HD Backlit",
Specialties,Secondary Bath Mirrors,,"Standard rectangular mirrors with polished edges (28""x42"" placed over each sink)",
Specialties,Powder Room Mirror,,"Standard rectangular mirrors with polished edges (28""x42"" placed over each sink)",
Specialties,Window Blinds,,Optional Fauxwood PVC blinds,
Specialties,Master Bedroom Walk-in Closet Shelving,,"One row 12"" Vinyl Coated Shelving",
Specialties,Secondary Bedroom Closet Shelving,,"One row 12"" Vinyl Coated Shelving",
Specialties,Foyer Coat Closet Shelving,,"One row 12"" Vinyl Coated Shelving",
Specialties,Linen Shelving,,"4 Row 16"" Vinyl Coated Shelving",
Specialties,Pantry Shelving,,"4 Row of 16"" Tight Mesh vinyl-coated shelving",
Specialties,Laundry Room Shelving,,none,
Drywall,Interior Walls,,"1/2"" Regular Drywall - Orange Peel Texture",
Drywall,Interior Ceilings,,"1/2"" HD or 5/8"" Ceiling Drywall - Knockdown Texture",
Drywall,Garage Ceiling adjacent to Living Area,,"5/8"" Type X Fire Rated Drywall",
Drywall,Tile / Tub Wall Backer,,"Daltile 6"" Black Subway Tile with white sandless grout",Daltile
Drywall,Corner Bead,,Square,
Paint,Exterior Stucco / Ext. Siding Primer,,Sherwin Williams one full coat of primer applied at 1.5-2 dry mils,Sherwin Williams
Paint,Exterior Stucco / Ext. Siding Paint,,Sherwin Williams one full coat of Loxon Top Coat applied at min. wet mil thickness of 11.5mils and dry at 5 mils,Sherwin Williams
Paint,Exterior Stucco Bands / Siding Bands,,Sherwin Williams one full coat of Loxon Top Coat applied Brushed / Rolled,Sherwin Williams
Paint,Exterior Metal Garage Doors,,Sherwin Williams A100 Gloss,Sherwin Williams
Paint,Exterior Fiberglass Entry Doors,,Sherwin Williams A100 Gloss,Sherwin Williams
Paint,Exterior Caulk,,Sherwin Williams White Lightning,Sherwin Williams
Paint,Interior Walls,,Sherwin Williams Painter's Edge - One Full Coat Sprayed and Back Rolled,Sherwin Williams
Paint,Interior Ceiling,,Sherwin Williams - One Full Coat Sprayed and Back Rolled,Sherwin Williams
Paint,Interior Doors and Trim,,Sherwin Williams Promar 400 Zero VOC Semi Gloss,Sherwin Williams
Paint,Interior Caulk,,Sherwin Williams 950 Siliconized Acrylic Latex Caulk,Sherwin Williams
Appliances,Garbage Disposal,,1/3 h.p. Disposal with cord,
Appliances,Dishwasher,,Energy Star DishWasher - SS,
Appliances,Oven,,Free standing oven / glass top stove - SS,
Appliances,Microwave,,Vented Microwave above Stove Top - SS,
Appliances,Refrigerator,,Optional,
Appliances,Washer,,Optional,
Appliances,Dryer,,Optional,
